2787;11158394;Подвал-14б
2793;10767955;подвал-08а
2988;11371557;ПОДВАЛ 48а 2 полка
3458;10834732;подвал-08а
3792;10632604;Подвал-39
3794;10632734;Подвал-39
4129;11326151;Подвал-7в
4208;10839935;подвал 23в
4372;10900697;подвал-09б
4643;10295472;Подвал-01
4653;;2324-14
4688;;Подвал-04
4693;;2318-18
4697;;2318-18
4698;;2318-18
4700;;2318-18
4703;;2318-18
4708;;2318-18
4710;;2318-18
4715;10847329;подвал 23а
4717;;2318-18
4724;;2318-18
4726;;2318-18
4733;;2318-18
4734;;2318-18
4736;;2318-18
4741;;2318-25
4742;;2318-18
4743;;2318-18
4744;;2318-18
4745;;2318-18
4746;;2318-18
4747;10504673;Подвал-02
4748;;2318-18
4749;;2318-18
4750;;2318-18
4927;;2318-18
4929;;2318-18
4930;;2318-18
4931;;2318-18
4932;;2318-18
4933;;2318-18
4934;;2318-18
4939;;2318-18
4942;;2318-18
5064;10805374;подвал 22в
5569;11223726;Подвал-54
5786;10916162;подвал 48 А 1 полка
6704;10840085;подвал 23в
6840;10684702;Подвал-40
6856;10918036;Подвал-46б
6926;;Прочие СА
6946;11056188;Подвал-14в
6972;10737460;Подвал-40
7532;10738603;Подвал-40
7534;10738597;Подвал-40
7756;10765708;подвал 24а
7953;10799901;подвал-22в
8040;10799918;подвал-22в
8202;;2318-18
8206;;2318-18
8251;;2318-19
8269;;2318-26
8277;;2318-20
8290;;2318-20
8293;;2318-19
8294;11224266;Подвал-54
8410;10739389;Подвал-40
8594;10738870;Подвал-40
8915;10684764;Подвал-40
9245;;2316-13
9271;10907672;Подвал-42а
9303;;2318-25
9878;10737767;Подвал-40
9994;11519492;Подвал 48б - 5 полка (начало слева)
10436;10740002;Подвал-40
10670;11243335;подвал-47а
10673;11276289;подвал-47а
10954;11367598;ПОДВАЛ 48а 2 полка
10991;10988817;№ подвал-43б
11035;;2318-21
11097;10238202;2318-110
11098;10238196;2318-110
11103;10988824;№ подвал-43б
11123;10735237;Подвал-40
11227;;2318-21
11333;10988831;№ подвал-43б
11364;10988800;№ подвал-43б
11390;10988848;№ подвал-43б
11404;11323990;Подвал-46а
11425;;2318-21
11463;11122760;Подвал-13в
11482;10985281;Подвал-42б
11499;11096856;Подвал-55
11658;11149856;№ Подвал 52
11667;10006894;2318-07
